2021년 08월 10일 19시 43분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: PH#0003 | 메시지: $원화 10600 LTC 
2021년 08월 12일 21시 29분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: jaemin1508#1234 | 메시지: 나머지는 뮤트임 
2021년 08월 12일 21시 29분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: PH#0003 | 메시지: 837687193140854864 
2021년 08월 12일 21시 29분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: jaemin1508#1234 | 메시지: ? 
2021년 08월 12일 21시 30분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: jaemin1508#1234 | 메시지: ㅂㅅ 
2021년 08월 12일 21시 30분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: jaemin1508#1234 | 메시지: 정답은 
2021년 08월 12일 21시 30분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: jaemin1508#1234 | 메시지: 5번째꺼ㅕㅅ음ㅋ 
2021년 08월 12일 21시 40분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: 권진수#1234 | 메시지: 밤바다 
2021년 08월 12일 21시 40분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: 권진수#1234 | 메시지: 머임저사람왜자꾸들낙함 
2021년 08월 12일 21시 53분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: 권진수#1234 | 메시지: <@!863006348882477056> 
2021년 08월 12일 21시 53분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: 권진수#1234 | 메시지: 헉잼민자판기\ 
2021년 08월 12일 21시 53분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: 뿡 ~~~~#3438 | 메시지: dksltlqkf 
2021년 08월 12일 21시 54분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: 뿡 ~~~~#3438 | 메시지: antms 
2021년 08월 12일 21시 54분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: 뿡 ~~~~#3438 | 메시지: 아니시발 
2021년 08월 12일 21시 54분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: 뿡 ~~~~#3438 | 메시지: 무슨인증이 
2021년 08월 12일 21시 54분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: 뿡 ~~~~#3438 | 메시지: 3개임 
2021년 08월 12일 21시 54분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: 뿡 ~~~~#3438 | 메시지: ㅋㅋㅋㅋㅋㅋㅋ 
2021년 08월 12일 21시 54분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: 뿡 ~~~~#3438 | 메시지: 미쳤나봐 
2021년 08월 12일 21시 54분 | 서버: 🦀정 초j저가 진수커뮤ㄴ1ㅌl | 채널: 💬ㅣ자유채팅 | 유저: 뿡 ~~~~#3438 | 메시지: 미쳣나바 ㅋㅋ 
